Td    ID    Tj    Df    Dd    Db
567   749   150   0     417   417
567   978   196   0     371   371
567   937   188   0     379   379
567   153   31    0     536   536
567   158   32    0     535   535
567   155   31    0     536   536
568   461   93    0     475   475
568   38    8     0     560   560
568   711   143   0     425   425
568   128   26    0     542   542
569   450   90    0     479   479
569   703   141   0     428   428
569   142   29    0     540   540
569   152   31    0     538   538
570   851   171   0     399   399
570   37    8     10    552   562
570   177   36    0     534   534
571   2669  134   34    403   437
571   2910  182   3     386   389
571   147   30    0     541   541
571   143   29    0     542   542
572   554   111   0     461   461
572   775   155   0     417   417
572   295   59    0     513   513
572   465   93    0     479   479
572   113   23    0     549   549
572   133   27    0     545   545
573   878   176   0     397   397
573   2556  112   79    382   461
573   2879  176   17    380   397
573   2428  86    13    474   487
574   776   156   0     418   418
574   141   29    531   14    545
574   134   27    0     547   547
574   144   29    0     545   545
575   2828  166   30    379   409
575   2719  144   1     430   431
576   130   26    0     550   550
577   2569  114   11    452   463
577   112   23    0     554   554
577   139   28    0     549   549
577   135   27    0     550   550
578   467   94    0     484   484
578   244   49    0     529   529
578   169   34    0     544   544
578   791   159   0     419   419
578   2918  184   1     393   394
578   2249  50    3     525   528
579   756   152   0     427   427
579   574   115   0     464   464
579   2770  154   11    414   425
579   129   26    0     553   553
579   111   23    0     556   556
580   2558  112   32    436   468
580   2776  156   25    399   424
580   2921  185   9     386   395
580   123   25    0     555   555
581   2973  195   56    330   386
581   2514  103   9     469   478
582   973   195   0     387   387
582   2883  177   21    384   405
583   707   142   0     441   441
583   2511  103   13    467   480
583   110   22    0     561   561
583   108   22    0     561   561
584   312   63    0     521   521
584   2454  91    99    394   493
584   2847  170   72    342   414
584   2752  151   21    412   433
584   118   24    0     560   560
585   257   52    0     533   533
585   957   192   0     393   393
585   376   76    0     509   509
585   2810  162   17    406   423
585   2865  173   3     409   412
585   2996  200   40    345   385
585   2594  119   13    453   466
585   2836  168   33    384   417
585   115   23    0     562   562
586   543   109   0     477   477
586   124   25    0     561   561
586   2552  111   6     469   475
586   105   21    0     565   565
587   252   51    0     536   536
587   2657  132   37    418   455
587   2839  168   23    396   419
587   107   22    0     565   565
588   259   52    0     536   536
588   154   31    0     557   557
588   102   21    0     567   567
589   2738  148   13    428   441
590   269   54    0     536   536
590   585   117   0     473   473
591   2786  158   67    366   433
591   2568  114   3     474   477
591   98    20    0     571   571
591   100   20    0     571   571
592   705   141   0     451   451
592   2913  183   17    392   409
592   2590  118   28    446   474
592   2783  157   46    389   435
592   2768  154   63    375   438
592   2713  143   45    404   449
592   87    18    0     574   574
592   103   21    0     571   571
593   2681  137   3     453   456
593   2975  195   25    373   398
593   2775  155   98    340   438
593   97    20    0     573   573
594   488   98    0     496   496
594   866   174   0     420   420
594   2635  127   9     458   467
594   88    18    0     576   576
595   84    17    0     578   578
595   331   67    0     528   528
595   89    18    0     577   577
596   6     2     0     594   594
596   632   127   0     469   469
596   758   152   0     444   444
596   406   82    0     514   514
596   218   44    5     547   552
596   2620  124   0     472   472
596   2624  125   22    449   471
596   95    19    0     577   577
597   389   78    1     518   519
597   2940  188   70    339   409
597   2850  170   31    396   427
597   2882  177   24    396   420
597   2856  172   125   300   425
597   2931  187   6     404   410
598   195   39    0     559   559
598   2809  162   17    419   436
598   2891  179   52    367   419
598   2539  108   8     482   490
599   334   67    0     532   532
599   167   34    0     565   565
599   512   103   0     496   496
599   757   152   0     447   447
599   2777  156   3     440   443
599   2899  180   112   307   419
599   2614  123   12    464   476
599   2433  87    26    486   512
599   2907  182   8     409   417
600   2402  81    15    504   519
600   2859  172   31    397   428
600   85    17    0     583   583
600   83    17    0     583   583
601   410   82    0     519   519
601   79    16    0     585   585
601   82    17    0     584   584
602   839   168   0     434   434
602   815   163   0     439   439
602   2934  187   170   245   415
602   2799  160   23    419   442
602   2691  139   9     454   463
602   80    16    0     586   586
602   75    15    0     587   587
603   81    17    0     586   586
604   2422  85    5     514   519
604   2748  150   13    441   454
605   350   70    0     535   535
605   831   167   0     438   438
605   414   83    0     522   522
605   783   157   0     448   448
605   2983  197   23    385   408
605   2925  185   52    368   420
605   73    15    0     590   590
606   961   193   0     413   413
606   794   159   0     447   447
606   687   138   0     468   468
606   316   64    0     542   542
606   2712  143   12    451   463
606   2524  105   1     500   501
606   74    15    0     591   591
607   249   50    0     557   557
607   572   115   0     492   492
607   2878  176   182   249   431
607   72    15    576   16    592
608   608   122   0     486   486
608   877   176   0     432   432
608   712   143   0     465   465
608   2637  128   67    413   480
608   2484  97    58    453   511
609   804   161   0     448   448
609   2485  97    24    488   512
609   66    14    0     595   595
609   71    15    578   16    594
610   641   129   0     481   481
610   2739  148   18    444   462
610   2971  195   4     411   415
611   2429  86    0     525   525
611   62    13    0     598   598
612   400   80    0     532   532
612   627   126   0     486   486
612   528   106   0     506   506
612   2906  182   17    413   430
612   2577  116   64    432   496
612   68    14    0     598   598
612   64    13    0     599   599
613   14    3     0     610   610
613   718   144   0     469   469
613   220   44    0     569   569
614   63    13    0     601   601
615   2774  155   12    448   460
616   442   89    0     527   527
616   537   108   0     508   508
616   54    11    0     605   605
616   2410  82    2     532   534
616   61    13    589   14    603
617   293   59    0     558   558
617   949   190   0     427   427
617   894   179   0     438   438
617   721   145   0     472   472
617   509   102   0     515   515
617   915   183   0     434   434
617   2965  193   3     421   424
617   2800  160   13    444   457
617   58    12    0     605   605
618   625   125   0     493   493
618   980   196   0     422   422
618   624   125   0     493   493
618   981   197   0     421   421
618   60    12    0     606   606
619   2785  157   8     454   462
619   2756  152   1     466   467
620   2281  57    2     561   563
620   2956  192   41    387   428
620   2866  174   17    429   446
620   52    11    0     609   609
620   55    11    0     609   609
